,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
32,0.8189701,0.023679577,0.26663736,0.021516988,0.4742546,0.12681207,0.5076983,0.085992336,0.44615906,0.02618032,0.48542422,0.12951541,0.7268956,0.10502676,0.6189563,0.02214493
33,0.8061564,0.037233885,0.26450157,0.02063457,0.4743238,0.1051435,0.5320798,0.091973476,0.44288254,0.027305353,0.48356438,0.12311964,0.7268548,0.1055391,0.62772596,0.022914685
34,0.7767201,0.023253003,0.26023683,0.020600524,0.44853625,0.058655567,0.55149996,0.09991035,0.44541335,0.023695927,0.4706847,0.09954434,0.7308224,0.101800516,0.62938297,0.022146016
35,0.7879555,0.02017056,0.26024517,0.020702995,0.45526966,0.058851365,0.5637975,0.0950005,0.44692665,0.025651056,0.46817282,0.09257946,0.73211586,0.099533826,0.6234982,0.020225922
36,0.7879623,0.028024333,0.26073846,0.01950011,0.4666217,0.044716813,0.58054006,0.09855449,0.44944578,0.018949816,0.48286155,0.11195668,0.72972363,0.1024246,0.6249748,0.017825618
37,0.79103553,0.030981898,0.26005134,0.019389516,0.51642305,0.06649847,0.593031,0.09761508,0.45487863,0.01534197,0.4834759,0.11455965,0.73226005,0.09977858,0.6296535,0.022368278
38,0.8064995,0.023927452,0.25975984,0.017695922,0.4875535,0.05784716,0.59104574,0.100412935,0.4500641,0.019722063,0.4833844,0.13159288,0.7348981,0.096679054,0.62688816,0.017355647
39,0.8102523,0.02897951,0.2562979,0.022364508,0.46372423,0.11918074,0.6083386,0.09527509,0.44877642,0.014939968,0.49536625,0.13090076,0.7307675,0.102206066,0.63420475,0.024871465
40,0.8142227,0.021527996,0.25561482,0.023776634,0.4351921,0.05765128,0.62422776,0.08936595,0.4508089,0.010365731,0.49735934,0.12677996,0.7340981,0.09829522,0.62886274,0.016723821
41,0.8144072,0.02414328,0.2572383,0.024102433,0.4687547,0.13507889,0.6379219,0.082955316,0.44734272,0.021133026,0.49887198,0.13371265,0.73386633,0.09713637,0.6324576,0.020943206
42,0.817382,0.027840348,0.2575536,0.026544878,0.4765173,0.13442409,0.6480124,0.08248157,0.45540524,0.033893038,0.5131756,0.1350855,0.7349044,0.09733467,0.6238825,0.02484015
43,0.8184453,0.020867795,0.25795752,0.02631333,0.48623386,0.15968458,0.6577867,0.07853208,0.4621585,0.030835778,0.5022294,0.13674594,0.7363261,0.09685864,0.63359314,0.021192249
44,0.82547987,0.019473573,0.25712022,0.029200757,0.49238092,0.10999385,0.67349637,0.07464686,0.4523747,0.015422231,0.5189001,0.13846223,0.7342399,0.099472776,0.6412273,0.026553199
45,0.8265064,0.024502622,0.25879812,0.0285212,0.45520273,0.07840793,0.6832436,0.06348375,0.43403864,0.010098336,0.53161305,0.13643798,0.73574173,0.09637975,0.6350678,0.021890529
46,0.823307,0.03344851,0.25839552,0.029390305,0.48085967,0.11398218,0.6936183,0.054861065,0.4460753,0.014691896,0.51930225,0.112851165,0.736607,0.097173646,0.6399764,0.024166528
47,0.827557,0.029858094,0.2586811,0.032762576,0.5006648,0.16190359,0.70005167,0.057454288,0.45516023,0.010707963,0.48752874,0.105283305,0.73445714,0.09836807,0.6361083,0.022017432
48,0.83188057,0.03047153,0.2553895,0.031935267,0.5023902,0.15340663,0.71152544,0.050915457,0.4534037,0.029793726,0.47987583,0.118785314,0.734455,0.09823114,0.63898754,0.01828966
49,0.83754,0.030862126,0.25949687,0.029924227,0.49596006,0.116395526,0.7234945,0.04217043,0.44475418,0.019885182,0.47793746,0.11479072,0.73549896,0.09703967,0.6408316,0.019531652
50,0.8391353,0.027124116,0.25591677,0.030454367,0.49735385,0.12793809,0.7284562,0.040061954,0.4475092,0.021205362,0.4746811,0.113333106,0.7346554,0.097693466,0.6446947,0.019633355
51,0.83089566,0.029829202,0.25766692,0.033233736,0.5240637,0.15840553,0.7355487,0.033815388,0.4687902,0.028472288,0.49550086,0.100841895,0.73850304,0.09294065,0.64661634,0.024000904
52,0.8343785,0.02914358,0.25644556,0.032035064,0.4669265,0.110115886,0.73987716,0.034526937,0.4484395,0.033182442,0.53769493,0.09960739,0.73745316,0.094623715,0.6468857,0.022940787
53,0.83520913,0.032952674,0.25687408,0.028764296,0.5224128,0.119668715,0.7409868,0.031258523,0.44291276,0.016170684,0.5320958,0.10812708,0.7382604,0.09318362,0.6497045,0.026076997
54,0.8364117,0.029182278,0.25499105,0.029049281,0.46200323,0.104328774,0.7407522,0.026653834,0.4624757,0.0342726,0.53381306,0.11414975,0.7349761,0.09830622,0.6469191,0.026667882
55,0.83964497,0.032583605,0.25549155,0.029554777,0.5112727,0.11379589,0.7511145,0.023471514,0.45750386,0.018616175,0.53830075,0.12107931,0.7414235,0.093687266,0.65393615,0.020373177
56,0.8400744,0.03284491,0.25798768,0.030223755,0.5021542,0.08219898,0.7570854,0.020468757,0.44570845,0.024035104,0.5384867,0.120028764,0.7410837,0.09162464,0.65576065,0.026865102
57,0.8400425,0.029392386,0.25591567,0.030905023,0.52164733,0.10586388,0.75948894,0.021217993,0.4436597,0.01770998,0.5293153,0.13066123,0.7413998,0.09180771,0.65758,0.025742251
58,0.8362887,0.031595647,0.25655052,0.029703239,0.50871927,0.07231626,0.7606486,0.026148377,0.4562989,0.015193103,0.5304896,0.1328966,0.74392664,0.088570215,0.65651786,0.025808183
59,0.8414438,0.028414046,0.25536945,0.02610065,0.4939173,0.06924841,0.7643907,0.027012683,0.44506064,0.02041073,0.5330591,0.13793264,0.7428446,0.090033695,0.65791744,0.018832782
60,0.8457181,0.02721064,0.25418583,0.027942082,0.51041377,0.12527905,0.7652247,0.025775937,0.45207444,0.015025538,0.5378428,0.13692282,0.74245536,0.08921666,0.66038644,0.023138778
61,0.8516901,0.027210727,0.25511262,0.026086198,0.5236888,0.10149082,0.7696583,0.024737388,0.44918364,0.015788224,0.5291399,0.1299454,0.74530524,0.0884053,0.6580741,0.0210869
62,0.8541054,0.025765117,0.2558275,0.02776796,0.5276915,0.09262728,0.77128476,0.024102453,0.45732683,0.014697233,0.53125423,0.14910346,0.74323004,0.088805616,0.65930814,0.019616017
63,0.8511694,0.020031236,0.25623485,0.027024895,0.5147101,0.06338149,0.7756336,0.01803957,0.45686173,0.02281321,0.5337348,0.15773205,0.7449729,0.08794966,0.6558655,0.02610392
64,0.8473737,0.018714298,0.25374278,0.02798922,0.53974754,0.13604724,0.77716875,0.019552184,0.44979438,0.018889343,0.527995,0.13947286,0.74251616,0.090191424,0.6613995,0.021797104
65,0.84488153,0.02705371,0.2524,0.027154492,0.5560962,0.101329744,0.7818655,0.015423795,0.43567175,0.028554091,0.49994597,0.12732454,0.74190223,0.09252921,0.6609569,0.023275904
66,0.8483199,0.0226358,0.2566594,0.02312858,0.51665753,0.09852381,0.7814349,0.016146064,0.4589544,0.006524608,0.5065143,0.12776172,0.7434692,0.091690525,0.6584319,0.023060711
67,0.84977007,0.016485587,0.25858355,0.030534042,0.5175322,0.12986097,0.78642344,0.011463428,0.4722696,0.012970351,0.5230712,0.13323817,0.74345875,0.08977805,0.66064936,0.026708344
68,0.84667003,0.0064487783,0.25910476,0.024771476,0.5213893,0.10685898,0.78808475,0.016951706,0.44320107,0.018375369,0.53907186,0.11723378,0.74704087,0.084713705,0.6557266,0.018032746
69,0.8511209,0.010275873,0.25681144,0.020195015,0.5184275,0.10533777,0.7862166,0.013571841,0.472416,0.027968885,0.54496247,0.11358389,0.7483311,0.08305485,0.66022265,0.0212473
70,0.85547006,0.0135925915,0.25754723,0.023679033,0.5322791,0.09519089,0.78691125,0.010794824,0.44255027,0.023674173,0.55982167,0.11598368,0.74774534,0.0852169,0.6562909,0.02494566
71,0.8562232,0.015920218,0.25660023,0.02550607,0.5048983,0.02534069,0.79030967,0.0060697207,0.45327687,0.016001537,0.55748343,0.12380618,0.751287,0.08045593,0.6618029,0.023952715
72,0.8542773,0.017690234,0.2568576,0.02646018,0.57064337,0.0377889,0.791321,0.008135157,0.46270832,0.017831977,0.555168,0.126724,0.7507305,0.08168886,0.66171825,0.024719464
73,0.84862727,0.015954638,0.2564807,0.022457115,0.584546,0.04827145,0.79118466,0.0062933983,0.45158595,0.015793651,0.5545885,0.13155961,0.7473316,0.08409366,0.65820754,0.022506393
74,0.8525051,0.012666957,0.25505894,0.024206206,0.5118167,0.10418738,0.78878605,0.012021885,0.46121883,0.025445266,0.54468226,0.13001122,0.74959886,0.08205583,0.6627262,0.025183672
75,0.8604468,0.0112864105,0.25692308,0.02497874,0.5541447,0.10271139,0.79208845,0.01188072,0.45707196,0.016484952,0.54939884,0.14061344,0.7496854,0.080929495,0.66273326,0.025649246
76,0.8621606,0.018183693,0.25263518,0.024083657,0.53679675,0.0699964,0.79208887,0.013604548,0.44961295,0.014619879,0.54617405,0.1419557,0.7496975,0.081393875,0.6598998,0.021046612
77,0.86107504,0.023363413,0.25246143,0.022255262,0.5424131,0.09657046,0.7906846,0.014494503,0.44507474,0.02357416,0.53488487,0.1288351,0.7480439,0.08326709,0.65959203,0.023733107
78,0.8542509,0.031375337,0.251267,0.023850959,0.57243085,0.13281702,0.7938763,0.0128053455,0.44984335,0.033719257,0.5400664,0.13781527,0.74828917,0.08456355,0.66420805,0.019991651
79,0.8592346,0.02583812,0.25031054,0.024168631,0.5541241,0.071111456,0.79264456,0.012333134,0.44627944,0.01806331,0.54225963,0.13599864,0.74654007,0.08679676,0.6625889,0.018881233
80,0.8630265,0.017599199,0.25181475,0.026131976,0.58528936,0.12330409,0.7970275,0.013428805,0.45470327,0.015167843,0.54074186,0.13015075,0.7485825,0.08324514,0.65750253,0.027443182
81,0.8668362,0.014492566,0.25318658,0.025057923,0.5605054,0.1557783,0.79818654,0.015438481,0.4476989,0.01417605,0.5399742,0.12743929,0.7516864,0.080294415,0.6610691,0.024501907
82,0.8672309,0.012643221,0.25014347,0.02661714,0.5773746,0.093630895,0.79613066,0.016469138,0.45163864,0.020814305,0.54839164,0.13827318,0.7482623,0.08487933,0.65999717,0.02556214
83,0.86755097,0.013035778,0.24960157,0.029135171,0.58742845,0.1308576,0.80080247,0.015446405,0.45197415,0.02546563,0.547624,0.14067686,0.7514429,0.082096145,0.6591934,0.027515229
84,0.8683622,0.012654314,0.24805008,0.029662771,0.5848006,0.13637248,0.7989942,0.01453397,0.45122156,0.016146222,0.5484809,0.14617153,0.7488791,0.0864465,0.6614695,0.022040753
85,0.8683423,0.0096104415,0.24649705,0.028171804,0.5414357,0.14384061,0.802479,0.01428977,0.45210624,0.020579856,0.5461311,0.14134307,0.7534942,0.08265957,0.6585966,0.018567797
86,0.86724424,0.008353404,0.24801989,0.031085087,0.523619,0.107330374,0.8032446,0.012499156,0.45544988,0.026225094,0.5337635,0.13306804,0.75277865,0.08394182,0.66306144,0.024799973
87,0.86977506,0.0060381894,0.24606621,0.025867976,0.5858785,0.13908565,0.8043487,0.01047121,0.4542369,0.01191199,0.4425983,0.027062476,0.7514173,0.08344727,0.6631073,0.023188516
88,0.86977667,0.00681103,0.24508898,0.026368313,0.60225886,0.12099982,0.8040662,0.014217619,0.45770726,0.017312912,0.45622444,0.057632428,0.7566856,0.079580374,0.6579765,0.023840245
89,0.86797935,0.011403546,0.24509335,0.02957029,0.538839,0.11600839,0.8026585,0.013321208,0.43833488,0.020668447,0.46418613,0.08233038,0.7541501,0.08098201,0.6591447,0.02210094
90,0.86557704,0.013755172,0.24775727,0.02597355,0.5740974,0.09949512,0.8064785,0.011824525,0.45538244,0.017727701,0.47800785,0.09283203,0.7527777,0.08320529,0.6620586,0.028991451
91,0.86253023,0.0146112535,0.24595377,0.026995728,0.57852715,0.099272884,0.80481356,0.012642529,0.45709142,0.02863708,0.47202325,0.09598391,0.7562461,0.07971103,0.6627092,0.025408532
92,0.8650694,0.010310589,0.248861,0.028805612,0.5660542,0.14356379,0.80814636,0.011028071,0.43817416,0.0048614372,0.47322306,0.07038551,0.75440997,0.08075422,0.6601866,0.029467825
93,0.86682355,0.0114647215,0.24633531,0.02477786,0.5637275,0.12717052,0.8083494,0.012217989,0.43570763,0.013232522,0.4755303,0.097724855,0.753065,0.08195597,0.65487754,0.024006631
94,0.8670523,0.011484442,0.24759753,0.026420774,0.5732976,0.09919807,0.8055733,0.011504124,0.46182433,0.023398094,0.47865295,0.09761419,0.7548071,0.08193614,0.65860605,0.025941573
95,0.8701982,0.012016253,0.25031337,0.026460435,0.59284186,0.06544526,0.80625606,0.010234093,0.446418,0.016975587,0.46970353,0.096169524,0.7555288,0.08030372,0.66385376,0.023857657
96,0.86722267,0.013213852,0.24657668,0.026149992,0.63139105,0.09647301,0.80605376,0.008854989,0.44693416,0.015938383,0.46753168,0.10255681,0.75097597,0.08575596,0.6639585,0.023763128
97,0.8662866,0.013464676,0.25269726,0.027718332,0.64943534,0.092039235,0.8084499,0.0077565215,0.4511362,0.020497704,0.47630724,0.09739872,0.75271666,0.08327345,0.66064173,0.026252532
98,0.8699192,0.007556796,0.25345844,0.032361023,0.6365045,0.1458408,0.8085608,0.009412386,0.45926994,0.030212972,0.46612185,0.09581364,0.75464076,0.082606316,0.66444147,0.025242476
99,0.8701921,0.00954014,0.2541655,0.031143725,0.6001539,0.17109165,0.8082842,0.00749841,0.4506534,0.029249432,0.47970217,0.09879863,0.7546814,0.080927745,0.66058415,0.019285461
100,0.87027884,0.00897705,0.2595474,0.032530993,0.5879668,0.14745592,0.8078859,0.009693462,0.440785,0.023760853,0.4812296,0.09709874,0.7504153,0.08588442,0.66130084,0.024843466
